,question:,smoothed_quality,smoothed_faithfulness,codequality,faithfulness
0,001,3.4528331319268224,3.70214275512051,4.0,3.857142857142857
1,003,3.188149378064116,3.511419486153778,2.7142857142857144,3.142857142857143
2,004,3.3716376645367294,3.5314234989378352,3.4285714285714284,3.4285714285714284
3,005,3.1830453069798486,3.181292460338268,2.7142857142857144,2.7142857142857144
4,006,3.3055918540095606,3.7507205842546325,3.2857142857142856,3.857142857142857
5,007,3.3290083849258747,4.035411413277837,3.4285714285714284,4.428571428571429
6,008,3.219152415030953,3.596970095222038,2.857142857142857,3.4285714285714284
7,009,3.167345926231863,3.3862653294029554,2.7142857142857144,3.142857142857143
8,011,3.432742188430023,3.7302887956579087,3.7142857142857144,3.857142857142857
9,013,3.3978067642317784,3.710636549844641,3.7142857142857144,3.857142857142857
10,014,3.336217544642459,3.6000880349609523,3.4285714285714284,3.4285714285714284
11,016,3.333558340799263,3.936597232841931,3.5714285714285716,4.285714285714286
12,017,3.3325142216753516,4.027296128037007,3.4285714285714284,4.428571428571429
13,019,3.2106420233234956,3.5373823307445886,2.857142857142857,3.4285714285714284
14,020,3.5129185555834193,3.930762664161859,4.142857142857143,4.285714285714286
