"question_id","posterior_expected_code_quality","posterior_expected_faithfulness","normal_code_quality_means","normal_faithfulness_means"
1,3.46442857142857,3.69557142857143,4,3.85714285714286
3,3.16485714285714,3.50128571428571,2.71428571428571,3.14285714285714
4,3.37971428571429,3.53442857142857,3.42857142857143,3.42857142857143
5,3.18385714285714,3.17628571428571,2.71428571428571,2.71428571428571
6,3.285,3.75957142857143,3.28571428571429,3.85714285714286
7,3.33457142857143,4.04,3.42857142857143,4.42857142857143
8,3.21814285714286,3.58814285714286,2.85714285714286,3.42857142857143
9,3.14014285714286,3.38657142857143,2.71428571428571,3.14285714285714
11,3.436,3.73928571428571,3.71428571428571,3.85714285714286
13,3.41014285714286,3.69371428571429,3.71428571428571,3.85714285714286
14,3.34014285714286,3.56071428571429,3.42857142857143,3.42857142857143
16,3.34971428571429,3.95214285714286,3.57142857142857,4.28571428571429
17,3.35342857142857,4.04528571428571,3.42857142857143,4.42857142857143
19,3.17928571428571,3.526,2.85714285714286,3.42857142857143
20,3.523,3.934,4.14285714285714,4.28571428571429
